ip_address,total_sessions,total_page_views,first_visit,last_visit,avg_session_duration_seconds,bounce_count,device,browser,browser_name,os,os_name,country,city,is_returning,bounce_rate_pct
77.205.149.175,1,1,2026-04-30 14:10:40.775000+00:00,2026-04-30 14:10:40.775000+00:00,0,1,mobile,TikTok 44.7.0,TikTok,iOS 26.3.1,iOS,,,False,100.0
90.26.59.45,2193,8889,2026-01-30 14:51:23.950000+00:00,2026-04-30 14:10:12.786000+00:00,10244,952,desktop,Chrome 147.0.0.0,Chrome,macOS 10.15.7,macOS,,,True,43.4
37.168.245.149,1,1,2026-04-30 14:04:07.031000+00:00,2026-04-30 14:04:07.031000+00:00,0,1,mobile,TikTok 44.7.0,TikTok,iOS 26.3.1,iOS,,,False,100.0
173.252.82.14,1,1,2026-04-30 13:59:40.211000+00:00,2026-04-30 13:59:40.211000+00:00,9,1,mobile,Instagram 426.0.0.36.74,Instagram,iOS 26.1,iOS,,,False,100.0
31.13.127.7,1,1,2026-04-30 13:58:20.001000+00:00,2026-04-30 13:58:20.001000+00:00,10,1,mobile,Instagram 426.0.0.37.68,Instagram,Android,Android,,,False,100.0
66.220.149.38,1,1,2026-04-30 13:58:02.861000+00:00,2026-04-30 13:58:02.861000+00:00,8,1,mobile,Instagram 426.0.0.36.74,Instagram,iOS 26.1,iOS,,,False,100.0
66.220.149.21,1,1,2026-04-30 13:57:47.442000+00:00,2026-04-30 13:57:47.442000+00:00,7,1,mobile,Instagram 426.0.0.37.68,Instagram,Android,Android,,,False,100.0
173.252.95.14,1,1,2026-04-30 13:56:44.355000+00:00,2026-04-30 13:56:44.355000+00:00,0,1,mobile,Mobile Chrome 147.0.0.0,Mobile,Android 10,Android,,,False,100.0
173.252.127.21,2,2,2026-04-29 10:11:43.576000+00:00,2026-04-30 13:54:57.334000+00:00,12,2,desktop,Edge 147.0.0.0,Edge,Windows 10,Windows,,,False,100.0
66.220.149.115,1,1,2026-04-30 13:54:29.330000+00:00,2026-04-30 13:54:29.330000+00:00,0,1,mobile,Instagram 426.0.0.37.68,Instagram,Android,Android,,,False,100.0
173.252.127.41,1,1,2026-04-30 13:54:25.587000+00:00,2026-04-30 13:54:25.587000+00:00,0,1,mobile,Instagram 426.0.0.36.74,Instagram,iOS 26.1,iOS,,,False,100.0
31.13.115.7,1,1,2026-04-30 13:54:25.211000+00:00,2026-04-30 13:54:25.211000+00:00,7,1,mobile,Mobile Safari 26.3,Mobile,iOS 18.7,iOS,,,False,100.0
88.188.129.48,1,1,2026-04-30 13:47:45.769000+00:00,2026-04-30 13:47:45.769000+00:00,0,1,tablet,TikTok 44.6.0,TikTok,iOS 26.3.1,iOS,,,False,100.0
66.118.191.252,1,1,2026-04-30 11:31:14.191000+00:00,2026-04-30 11:31:14.191000+00:00,0,1,mobile,Mobile Safari 13.0.3,Mobile,iOS 13.2.3,iOS,,,False,100.0
114.122.20.177,1,1,2026-04-30 11:31:08.495000+00:00,2026-04-30 11:31:08.495000+00:00,0,1,mobile,Mobile Safari 13.0.3,Mobile,iOS 13.2.3,iOS,,,False,100.0
74.125.212.138,7,7,2026-04-02 17:04:23.417000+00:00,2026-04-30 11:26:45.195000+00:00,0,7,desktop,Chrome 147.0.7727.116,Chrome,Linux,Linux,,,True,100.0
74.125.213.41,1,1,2026-04-30 11:26:32.653000+00:00,2026-04-30 11:26:32.653000+00:00,0,1,desktop,Unknown,Unknown,Unknown,Unknown,,,False,100.0
74.125.213.42,1,1,2026-04-30 11:26:32.648000+00:00,2026-04-30 11:26:32.648000+00:00,0,1,desktop,Unknown,Unknown,Unknown,Unknown,,,False,100.0
192.178.11.100,4,4,2026-02-05 11:22:34.962000+00:00,2026-04-30 11:19:56.749000+00:00,0,4,desktop,Unknown,Unknown,Unknown,Unknown,,,True,100.0
192.178.11.101,6,6,2026-02-04 18:14:16.400000+00:00,2026-04-30 11:19:44.707000+00:00,0,6,desktop,Unknown,Unknown,Unknown,Unknown,,,True,100.0
74.125.212.136,3,3,2026-04-22 16:07:32.965000+00:00,2026-04-30 11:17:39.110000+00:00,0,3,desktop,Unknown,Unknown,Unknown,Unknown,,,True,100.0
74.125.212.137,6,6,2026-03-24 17:53:01.158000+00:00,2026-04-30 11:17:33.743000+00:00,0,6,desktop,Unknown,Unknown,Unknown,Unknown,,,True,100.0
81.185.168.40,1,1,2026-04-30 11:16:59.633000+00:00,2026-04-30 11:16:59.633000+00:00,0,1,mobile,Mobile Chrome 147.0.7727.99,Mobile,iOS 26.1.0,iOS,,,False,100.0
82.66.65.39,1,1,2026-04-30 10:39:29.463000+00:00,2026-04-30 10:39:29.463000+00:00,0,1,mobile,TikTok 42.3.4,TikTok,Android 9,Android,,,False,100.0
88.183.122.25,1,1,2026-04-30 10:37:30.076000+00:00,2026-04-30 10:37:30.076000+00:00,0,1,mobile,TikTok 42.5.1,TikTok,iOS 18.3.1,iOS,,,False,100.0
92.184.96.190,1,1,2026-04-30 08:31:43.964000+00:00,2026-04-30 08:31:43.964000+00:00,10,1,mobile,Mobile Chrome 147.0.0.0,Mobile,Android 10,Android,,,False,100.0
37.168.136.52,1,3,2026-04-30 07:42:06.288000+00:00,2026-04-30 07:42:06.288000+00:00,0,0,mobile,Mobile Safari 26.0,Mobile,iOS 26.0,iOS,,,False,0.0
146.112.163.41,1,1,2026-04-30 07:24:08.546000+00:00,2026-04-30 07:24:08.546000+00:00,0,1,desktop,Chrome 146.0.0.0,Chrome,Windows 10,Windows,,,False,100.0
88.120.36.42,2,2,2026-04-29 21:48:27.330000+00:00,2026-04-30 06:42:03.061000+00:00,0,2,mobile,Instagram 426.0.0.36.74,Instagram,iOS 26.1,iOS,,,True,100.0
104.28.42.16,1,1,2026-04-30 01:46:44.528000+00:00,2026-04-30 01:46:44.528000+00:00,0,1,mobile,Mobile Safari 26.4,Mobile,iOS 18.7,iOS,,,False,100.0
78.198.248.96,3,3,2026-04-29 21:56:27.762000+00:00,2026-04-30 00:53:32.540000+00:00,0,3,mobile,Mobile Safari 26.0,Mobile,iOS 26.0,iOS,,,True,100.0
209.85.238.128,18,18,2026-02-04 09:53:22.312000+00:00,2026-04-30 00:42:14.239000+00:00,0,18,desktop,Chrome 146.0.7680.177,Chrome,Linux,Linux,,,True,100.0
37.169.46.104,1,1,2026-04-30 00:05:48.350000+00:00,2026-04-30 00:05:48.350000+00:00,0,1,mobile,Instagram 415.1.0.24.68,Instagram,iOS 18.7,iOS,,,False,100.0
176.191.75.131,4,10,2026-04-29 22:51:57.022000+00:00,2026-04-29 22:56:34.866000+00:00,14,1,desktop,Chrome 144.0.0.0,Chrome,macOS 10.15.7,macOS,,,True,25.0
173.252.87.31,1,1,2026-04-29 22:41:03.451000+00:00,2026-04-29 22:41:03.451000+00:00,14,1,mobile,Mobile Chrome 147.0.0.0,Mobile,Android 10,Android,,,False,100.0
31.13.115.2,1,1,2026-04-29 22:40:09.629000+00:00,2026-04-29 22:40:09.629000+00:00,22,1,tablet,Chrome 147.0.0.0,Chrome,Android 10,Android,,,False,100.0
66.220.149.16,1,1,2026-04-29 22:38:36.767000+00:00,2026-04-29 22:38:36.767000+00:00,9,1,mobile,Instagram 426.0.0.36.74,Instagram,iOS 26.1,iOS,,,False,100.0
66.220.149.15,1,1,2026-04-29 22:38:36.441000+00:00,2026-04-29 22:38:36.441000+00:00,9,1,mobile,Instagram 426.0.0.37.68,Instagram,Android,Android,,,False,100.0
31.13.127.0,1,1,2026-04-29 22:38:33.107000+00:00,2026-04-29 22:38:33.107000+00:00,14,1,mobile,Mobile Chrome 147.0.0.0,Mobile,Android 10,Android,,,False,100.0
2.4.216.107,1,1,2026-04-29 22:16:07.952000+00:00,2026-04-29 22:16:07.952000+00:00,0,1,mobile,Instagram 426.0.0.36.74,Instagram,iOS 26.3,iOS,,,False,100.0
46.193.69.241,76,319,2026-02-08 21:11:44.234000+00:00,2026-04-29 21:34:05.368000+00:00,2498,34,desktop,Chrome 147.0.0.0,Chrome,Windows 10,Windows,,,True,44.7
86.234.91.231,1,1,2026-04-29 20:42:19.289000+00:00,2026-04-29 20:42:19.289000+00:00,0,1,mobile,Instagram 426.0.0.37.68,Instagram,Android 16,Android,,,False,100.0
92.184.100.131,3,3,2026-04-29 18:32:29.423000+00:00,2026-04-29 19:32:37.558000+00:00,0,3,mobile,Mobile Chrome 147.0.0.0,Mobile,Android 10,Android,,,True,100.0
92.92.128.6,1,1,2026-04-29 19:18:18.847000+00:00,2026-04-29 19:18:18.847000+00:00,0,1,mobile,Instagram 426.0.0.36.74,Instagram,iOS 26.3.1,iOS,,,False,100.0
88.160.104.229,1,1,2026-04-29 19:16:41.141000+00:00,2026-04-29 19:16:41.141000+00:00,0,1,mobile,Instagram 426.0.0.36.74,Instagram,iOS 26.3.1,iOS,,,False,100.0
212.195.228.43,2,2,2026-04-29 18:00:24.744000+00:00,2026-04-29 18:00:45.586000+00:00,0,2,mobile,Instagram 426.0.0.36.74,Instagram,iOS 26.1,iOS,,,True,100.0
37.167.106.44,1,1,2026-04-29 17:39:32.313000+00:00,2026-04-29 17:39:32.313000+00:00,0,1,mobile,Instagram 426.0.0.37.68,Instagram,Android 15,Android,,,False,100.0
82.124.45.82,8,9,2026-02-06 08:12:32.424000+00:00,2026-04-29 15:04:11.268000+00:00,8948,7,desktop,Safari 26.2,Safari,macOS 10.15.7,macOS,,,True,87.5
146.70.194.73,1,2,2026-04-29 15:00:18.349000+00:00,2026-04-29 15:00:18.349000+00:00,0,0,desktop,Firefox 150.0,Firefox,Linux,Linux,,,False,0.0
209.85.238.129,29,29,2026-02-05 09:19:49.314000+00:00,2026-04-29 12:22:19.460000+00:00,0,29,desktop,Unknown,Unknown,Unknown,Unknown,,,True,100.0
104.232.220.55,4,4,2026-04-29 10:03:03.286000+00:00,2026-04-29 11:04:51.169000+00:00,0,4,mobile,TikTok 31.9.3,TikTok,Android 12,Android,,,True,100.0
176.186.178.169,4,4,2026-03-30 12:45:18.926000+00:00,2026-04-29 11:04:48.804000+00:00,35,4,mobile,TikTok 44.7.0,TikTok,iOS 26.2.1,iOS,,,False,100.0
46.193.68.51,6,31,2026-04-07 10:10:01.487000+00:00,2026-04-29 10:24:41.798000+00:00,70,3,desktop,Chrome 147.0.0.0,Chrome,Windows 10,Windows,,,True,50.0
66.220.149.113,1,1,2026-04-29 10:18:36.528000+00:00,2026-04-29 10:18:36.528000+00:00,9,1,mobile,Mobile Chrome 147.0.0.0,Mobile,Android 10,Android,,,False,100.0
173.252.127.112,1,1,2026-04-29 10:16:01.176000+00:00,2026-04-29 10:16:01.176000+00:00,7,1,mobile,Mobile Chrome 147.0.0.0,Mobile,Android 10,Android,,,False,100.0
31.13.127.30,1,1,2026-04-29 10:15:59.461000+00:00,2026-04-29 10:15:59.461000+00:00,7,1,mobile,Instagram 426.0.0.36.74,Instagram,iOS 26.3,iOS,,,False,100.0
31.13.127.68,1,1,2026-04-29 10:15:37.183000+00:00,2026-04-29 10:15:37.183000+00:00,10,1,mobile,Mobile Chrome 147.0.0.0,Mobile,Android 10,Android,,,False,100.0
31.13.115.116,1,1,2026-04-29 10:15:26.424000+00:00,2026-04-29 10:15:26.424000+00:00,10,1,mobile,Mobile Chrome 147.0.0.0,Mobile,Android 10,Android,,,False,100.0
173.252.127.4,1,1,2026-04-29 10:15:16.329000+00:00,2026-04-29 10:15:16.329000+00:00,25,1,mobile,Mobile Safari 18.7.5,Mobile,iOS 18.7,iOS,,,False,100.0
31.13.127.20,1,1,2026-04-29 10:13:56.525000+00:00,2026-04-29 10:13:56.525000+00:00,10,1,mobile,Instagram 426.0.0.36.74,Instagram,iOS 26.3,iOS,,,False,100.0
66.220.149.33,1,1,2026-04-29 10:13:47.211000+00:00,2026-04-29 10:13:47.211000+00:00,0,1,mobile,Mobile Chrome 147.0.0.0,Mobile,Android 10,Android,,,False,100.0
31.13.127.50,1,1,2026-04-29 10:13:46.439000+00:00,2026-04-29 10:13:46.439000+00:00,8,1,mobile,Mobile Chrome 147.0.0.0,Mobile,Android 10,Android,,,False,100.0
173.252.127.7,2,2,2026-04-29 10:11:34.784000+00:00,2026-04-29 10:13:44.309000+00:00,4,2,mobile,Instagram 426.0.0.36.74,Instagram,iOS 26.3,iOS,,,False,100.0
31.13.127.28,1,1,2026-04-29 10:13:23.875000+00:00,2026-04-29 10:13:23.875000+00:00,10,1,mobile,Instagram 426.0.0.36.74,Instagram,iOS 26.3,iOS,,,False,100.0
173.252.87.112,1,1,2026-04-29 10:13:12+00:00,2026-04-29 10:13:12+00:00,0,1,mobile,Mobile Chrome 147.0.0.0,Mobile,Android 10,Android,,,False,100.0
173.252.82.112,1,1,2026-04-29 10:11:53.102000+00:00,2026-04-29 10:11:53.102000+00:00,0,1,mobile,Mobile Chrome 147.0.0.0,Mobile,Android 10,Android,,,False,100.0
173.252.70.31,1,1,2026-04-29 10:11:41.747000+00:00,2026-04-29 10:11:41.747000+00:00,7,1,mobile,Mobile Chrome 147.0.0.0,Mobile,Android 10,Android,,,False,100.0
173.252.127.22,1,1,2026-04-29 10:11:41.195000+00:00,2026-04-29 10:11:41.195000+00:00,10,1,mobile,Instagram 426.0.0.36.74,Instagram,iOS 26.3,iOS,,,False,100.0
66.220.149.13,1,1,2026-04-29 10:11:39.963000+00:00,2026-04-29 10:11:39.963000+00:00,0,1,mobile,Mobile Chrome 147.0.0.0,Mobile,Android 10,Android,,,False,100.0
173.252.127.113,1,1,2026-04-29 10:11:37.812000+00:00,2026-04-29 10:11:37.812000+00:00,7,1,mobile,Instagram 426.0.0.36.74,Instagram,iOS 26.3,iOS,,,False,100.0
123.28.72.101,1,1,2026-04-29 09:42:08.521000+00:00,2026-04-29 09:42:08.521000+00:00,0,1,mobile,Mobile Safari 13.0.3,Mobile,iOS 13.2.3,iOS,,,False,100.0
90.40.146.41,2,21,2026-02-11 09:08:59.735000+00:00,2026-04-29 09:30:21.982000+00:00,13398,0,desktop,Safari 18.2,Safari,macOS 10.15.7,macOS,,,False,0.0
87.88.144.171,4,4,2026-04-29 09:01:56.829000+00:00,2026-04-29 09:26:33.127000+00:00,0,4,mobile,Mobile Safari 26.2,Mobile,iOS 18.7,iOS,,,True,100.0
90.127.233.254,97,389,2026-02-02 08:08:18.350000+00:00,2026-04-29 08:41:06.346000+00:00,5945,50,mobile,Mobile Safari 26.2,Mobile,iOS 18.7,iOS,,,True,51.5
176.191.72.5,1,1,2026-04-29 08:00:08.624000+00:00,2026-04-29 08:00:08.624000+00:00,0,1,mobile,Mobile Chrome 136.0.7103.91,Mobile,iOS 26.4.0,iOS,,,False,100.0
209.85.238.133,8,8,2026-04-17 08:17:50.599000+00:00,2026-04-29 07:16:35.288000+00:00,0,8,desktop,Unknown,Unknown,Unknown,Unknown,,,True,100.0
