timestamp,date,hour,session_id,user_id,is_logged_in,path,normalized_path,title,referer,time_on_page_seconds,scroll_depth_pct
2026-04-30 14:10:40.791000+00:00,2026-04-30,14,adbe5546-f2f2-40b6-be9b-51d82dafd065,,False,/,/,,https://www.tiktok.com/,0,
2026-04-30 14:10:12.795000+00:00,2026-04-30,14,4df66d32-788c-4687-a76d-01c7a25fca1c,,False,/user/profile/e6f89141-5335-446e-a87a-855c9ccd9d5d,/user/profile/[id],,,0,
2026-04-30 14:04:07.041000+00:00,2026-04-30,14,99371a8d-a5a7-4126-ac48-a4ce3078d635,,False,/,/,,https://www.tiktok.com/,0,
2026-04-30 13:59:40.219000+00:00,2026-04-30,13,e94acd7c-0df3-4c3e-b535-d98c2e37bf48,,False,/,/,,http://m.facebook.com,0,
2026-04-30 13:58:20.011000+00:00,2026-04-30,13,13fcb054-c523-448e-9fb0-fee684c1fa0e,,False,/,/,,http://m.facebook.com,0,
2026-04-30 13:58:02.869000+00:00,2026-04-30,13,ec9b2f48-0112-4c5d-a9bc-bdb0544fe274,,False,/,/,,http://m.facebook.com,0,
2026-04-30 13:57:47.460000+00:00,2026-04-30,13,05969227-0d7a-4dd7-b742-18c2b78ef836,,False,/,/,,http://m.facebook.com,0,
2026-04-30 13:56:44.370000+00:00,2026-04-30,13,1e976578-8dc1-4d6d-a08f-2d31cf76c53f,,False,/,/,,https://www.facebook.com/,0,
2026-04-30 13:54:57.344000+00:00,2026-04-30,13,4ba1c2c7-e2ef-4f03-b8fe-9a29a8647d53,,False,/,/,,https://www.facebook.com/,0,
2026-04-30 13:54:29.338000+00:00,2026-04-30,13,fd645e15-312a-4749-9832-c58e9a082fdd,,False,/,/,,http://m.facebook.com,0,
2026-04-30 13:54:25.598000+00:00,2026-04-30,13,d6d3c8a4-1dce-4f0a-952b-4233cd365be0,,False,/,/,,http://m.facebook.com,0,
2026-04-30 13:54:25.221000+00:00,2026-04-30,13,f8c03b29-3a84-4ddd-b009-d24efb72ce1f,,False,/,/,,https://www.facebook.com/,0,
2026-04-30 13:47:45.777000+00:00,2026-04-30,13,d7350f52-aff9-498b-a70e-70013b742e74,,False,/,/,,https://www.tiktok.com/,0,
